Hour_sin,Hour_cos,Soil_Temp,Rainfall,Soil_Moisture
-0.9659,-0.2588,10.0,0.0,0.361
-1.0,-0.0,11.6,0.0,0.361
-0.9659,0.2588,13.6,0.0,0.36
-0.866,0.5,15.2,0.0,0.359
-0.7071,0.7071,16.5,0.0,0.358
-0.5,0.866,17.1,0.0,0.356
-0.2588,0.9659,16.8,0.0,0.356
0.0,1.0,15.9,0.0,0.355
0.2588,0.9659,14.6,0.0,0.355
0.5,0.866,13.1,0.0,0.355
0.7071,0.7071,11.6,0.0,0.356
0.866,0.5,11.0,0.0,0.356
0.9659,0.2588,10.7,0.0,0.356
1.0,0.0,10.2,0.0,0.356
0.9659,-0.2588,9.8,0.0,0.356
0.866,-0.5,9.5,0.0,0.357
0.7071,-0.7071,9.2,0.0,0.357
0.5,-0.866,9.1,0.0,0.357
0.2588,-0.9659,8.7,0.0,0.357
0.0,-1.0,8.7,0.0,0.357
-0.2588,-0.9659,8.7,0.0,0.357
-0.5,-0.866,8.5,0.0,0.357
-0.7071,-0.7071,8.5,0.0,0.357
-0.866,-0.5,8.6,0.0,0.357
-0.9659,-0.2588,9.9,0.0,0.357
-1.0,-0.0,11.6,0.0,0.356
-0.9659,0.2588,13.2,0.0,0.356
-0.866,0.5,14.7,0.0,0.355
-0.7071,0.7071,15.2,0.0,0.353
-0.5,0.866,17.0,0.0,0.352
-0.2588,0.9659,16.4,0.0,0.351
0.0,1.0,15.3,0.0,0.35
0.2588,0.9659,13.9,0.0,0.349
0.5,0.866,12.1,0.0,0.35
0.7071,0.7071,11.0,0.0,0.35
0.866,0.5,10.5,0.0,0.351
0.9659,0.2588,10.3,0.0,0.351
1.0,0.0,10.0,0.0,0.351
0.9659,-0.2588,9.8,0.0,0.351
0.866,-0.5,9.7,0.0,0.352
0.7071,-0.7071,9.6,0.0,0.351
0.5,-0.866,9.5,0.0,0.352
0.2588,-0.9659,9.3,0.0,0.352
0.0,-1.0,9.5,0.0,0.352
-0.2588,-0.9659,9.5,0.0,0.352
-0.5,-0.866,9.4,0.0,0.351
-0.7071,-0.7071,9.0,0.0,0.351
-0.866,-0.5,9.2,0.0,0.352
-0.9659,-0.2588,10.2,0.0,0.352
-1.0,-0.0,12.3,0.0,0.351
-0.9659,0.2588,13.5,0.0,0.35
-0.866,0.5,14.2,0.0,0.349
-0.7071,0.7071,15.8,0.0,0.348
-0.5,0.866,16.0,0.0,0.346
-0.2588,0.9659,16.4,0.0,0.345
0.0,1.0,15.0,0.0,0.344
0.2588,0.9659,14.3,0.0,0.344
0.5,0.866,13.6,0.0,0.344
0.7071,0.7071,11.8,0.0,0.345
0.866,0.5,11.3,0.0,0.345
0.9659,0.2588,10.7,0.0,0.345
1.0,0.0,10.2,0.0,0.346
0.9659,-0.2588,10.0,0.0,0.346
0.866,-0.5,9.8,0.0,0.346
0.7071,-0.7071,9.8,0.0,0.346
0.5,-0.866,9.8,0.0,0.346
0.2588,-0.9659,10.1,0.0,0.346
0.0,-1.0,10.0,0.0,0.346
-0.2588,-0.9659,9.4,0.0,0.346
-0.5,-0.866,9.0,0.0,0.346
-0.7071,-0.7071,8.6,0.0,0.346
-0.866,-0.5,8.8,0.0,0.346
-0.9659,-0.2588,10.2,0.0,0.346
-1.0,-0.0,11.9,0.0,0.346
-0.9659,0.2588,13.9,0.0,0.345
-0.866,0.5,15.5,0.0,0.344
-0.7071,0.7071,16.7,0.0,0.343
-0.5,0.866,17.4,0.0,0.342
-0.2588,0.9659,17.1,0.0,0.34
0.0,1.0,15.8,0.0,0.34
0.2588,0.9659,14.4,0.0,0.34
0.5,0.866,12.7,0.0,0.34
0.7071,0.7071,11.3,0.0,0.341
0.866,0.5,10.7,0.0,0.341
0.9659,0.2588,10.1,0.0,0.341
1.0,0.0,9.8,0.0,0.341
0.9659,-0.2588,9.5,0.0,0.342
0.866,-0.5,9.1,0.0,0.342
0.7071,-0.7071,8.9,0.0,0.342
0.5,-0.866,8.7,0.0,0.343
0.2588,-0.9659,8.5,0.0,0.343
0.0,-1.0,8.3,0.0,0.343
-0.2588,-0.9659,8.1,0.0,0.343
-0.5,-0.866,8.1,0.0,0.343
-0.7071,-0.7071,7.9,0.0,0.343
-0.866,-0.5,8.4,0.0,0.343
-0.9659,-0.2588,10.0,0.0,0.343
-1.0,-0.0,11.7,0.0,0.342
-0.9659,0.2588,13.6,0.0,0.342
-0.866,0.5,15.5,0.0,0.341
-0.7071,0.7071,15.7,0.0,0.34
-0.5,0.866,15.9,0.0,0.339
-0.2588,0.9659,16.4,0.0,0.338
0.0,1.0,15.5,0.0,0.338
0.2588,0.9659,14.2,0.0,0.338
0.7071,0.7071,11.6,,0.338
0.866,0.5,11.1,0.0,0.338
0.9659,0.2588,10.5,0.0,0.338
1.0,0.0,10.0,0.0,0.338
0.9659,-0.2588,10.1,0.0,0.339
0.866,-0.5,9.8,0.0,0.339
0.7071,-0.7071,9.8,0.0,0.339
0.5,-0.866,9.8,0.0,0.339
0.2588,-0.9659,9.1,0.0,0.339
0.0,-1.0,10.1,0.0,0.339
-0.2588,-0.9659,10.4,0.0,0.339
-0.5,-0.866,11.0,0.0,0.339
-0.7071,-0.7071,10.9,0.0,0.339
-0.866,-0.5,11.4,0.0,0.339
-0.9659,-0.2588,12.1,0.0,0.339
-1.0,-0.0,12.8,0.0,0.339
-0.9659,0.2588,13.9,0.0,0.339
-0.866,0.5,14.3,0.0,0.338
-0.7071,0.7071,15.1,0.0,0.338
-0.5,0.866,15.5,0.0,0.338
-0.2588,0.9659,14.9,0.0,0.337
0.0,1.0,14.6,0.0,0.337
0.2588,0.9659,14.0,0.0,0.337
0.5,0.866,13.6,0.0,0.337
0.7071,0.7071,13.5,0.0,0.337
0.866,0.5,13.3,0.0,0.337
0.9659,0.2588,13.2,0.0,0.337
1.0,0.0,13.1,0.0,0.337
0.9659,-0.2588,11.9,0.0,0.337
0.866,-0.5,11.7,0.0,0.338
0.7071,-0.7071,11.8,0.0,0.338
0.5,-0.866,11.6,0.0,0.338
0.2588,-0.9659,12.0,0.0,0.338
0.0,-1.0,12.0,0.0,0.338
-0.2588,-0.9659,11.8,0.0,0.338
-0.5,-0.866,11.6,0.0,0.338
-0.7071,-0.7071,11.8,0.0,0.338
-0.866,-0.5,11.7,0.0,0.338
-0.9659,-0.2588,12.3,0.0,0.338
